employee_id,first_name,last_name,email,gender,age,marital_status,department,job_role,education_field,education_level,business_travel,distance_from_home,hire_date,termination_date,employment_status,salary,salary_hike_percent,performance_rating,previous_employers,years_at_company,years_in_current_role,years_since_last_promotion,years_with_current_manager,stock_option_level,overtime,training_times_last_year,work_life_balance,job_satisfaction,environment_satisfaction,relationship_satisfaction,job_involvement,attrition,salary_band,age_band
1,Jennifer,Mendez,employee1@company.com,Female,37,Single,Marketing,Marketing Associate,Medical,Bachelor's,Travel_Frequently,48,2017-12-25,2019-12-16,Terminated,97050.71,22.52,2,6,8.5,0,0,1,1,Yes,4,1,2,4,2,4,Yes,80-100K,35-44
2,Brian,Ramirez,employee2@company.com,Male,32,Divorced,IT,IT Manager,Technical Degree,PhD,Travel_Rarely,10,2020-08-30,,Active,83526.04,6.95,4,1,5.9,1,3,1,2,No,4,3,1,4,1,4,No,80-100K,25-34
3,Daniel,Rodriguez,employee3@company.com,Female,58,Single,Sales,Sales Manager,Other,Bachelor's,Non-Travel,43,2020-12-21,,Active,116115.33,7.24,3,1,5.5,3,6,1,3,No,3,3,2,3,3,2,No,100K+,55+
4,Angela,Hunt,employee4@company.com,Male,60,Divorced,Marketing,Content Writer,Medical,Master's,Non-Travel,30,2024-06-10,,Active,130845.45,10.73,5,3,2.1,5,6,0,1,Yes,6,3,4,3,1,2,No,100K+,55+
5,Maria,Jackson,employee5@company.com,Female,47,Divorced,IT,IT Manager,Technical Degree,Master's,Travel_Rarely,9,2022-01-05,,Active,94087.7,7.67,3,4,4.5,6,4,6,2,Yes,1,4,1,1,1,2,No,80-100K,45-54
6,Pamela,Cannon,employee6@company.com,Female,60,Single,Marketing,Marketing Manager,Technical Degree,High School,Travel_Frequently,30,2019-02-21,,Active,104487.95,14.17,5,0,7.4,1,5,8,2,No,0,3,4,2,4,1,No,100K+,55+
7,Isaiah,Velez,employee7@company.com,Male,54,Single,Marketing,Content Writer,Other,PhD,Travel_Frequently,33,2018-05-27,,Active,126888.19,16.01,2,2,8.1,8,6,8,0,No,3,1,1,3,3,2,No,100K+,45-54
8,Tamara,Nguyen,employee8@company.com,Male,27,Divorced,Sales,Sales Representative,Technical Degree,Bachelor's,Travel_Frequently,50,2016-08-17,,Active,93111.52,4.89,4,2,9.9,4,4,6,1,Yes,5,3,4,3,4,4,No,80-100K,25-34
9,Gary,Rios,employee9@company.com,Female,23,Divorced,Sales,Sales Representative,Human Resources,Master's,Travel_Frequently,15,2022-06-18,,Active,71357.88,2.17,4,0,4.1,3,0,0,2,Yes,4,2,3,4,2,2,No,60-80K,<25
10,Raymond,Castillo,employee10@company.com,Female,48,Single,Marketing,SEO Specialist,Life Sciences,Bachelor's,Travel_Frequently,28,2017-04-04,,Active,106538.4,10.15,3,0,9.3,1,0,6,2,Yes,1,2,2,4,2,4,No,100K+,45-54
11,David,Maxwell,employee11@company.com,Male,50,Divorced,Research & Development,Lab Technician,Life Sciences,Bachelor's,Travel_Frequently,35,2020-02-09,,Active,93048.73,21.23,5,3,6.4,2,3,7,3,Yes,6,4,1,2,4,1,No,80-100K,45-54
12,Anthony,Beard,employee12@company.com,Female,40,Married,Finance,Finance Manager,Other,High School,Non-Travel,13,2024-10-04,,Active,85014.05,8.82,5,0,1.8,5,0,0,3,Yes,0,1,2,1,1,2,No,80-100K,35-44
13,Jenna,Gay,employee13@company.com,Male,59,Divorced,Finance,Accountant,Life Sciences,Bachelor's,Travel_Rarely,43,2023-10-18,,Active,110829.43,15.42,3,4,2.7,3,5,5,1,No,3,2,3,4,3,1,No,100K+,55+
14,David,Vargas,employee14@company.com,Male,26,Divorced,Sales,Account Executive,Medical,PhD,Non-Travel,23,2021-09-28,,Active,52100.8,22.26,4,5,4.8,4,1,7,2,Yes,5,3,1,2,3,1,No,40-60K,25-34
15,Christopher,Holt,employee15@company.com,Male,43,Single,Sales,Sales Representative,Other,PhD,Travel_Frequently,32,2023-04-18,,Active,68526.23,7.78,5,0,3.2,1,5,6,2,Yes,0,3,2,3,2,4,No,60-80K,35-44
16,Abigail,Sanders,employee16@company.com,Male,26,Divorced,IT,Network Administrator,Medical,Bachelor's,Travel_Rarely,38,2017-12-29,,Active,72365.69,14.71,3,0,8.5,4,2,0,2,Yes,5,2,1,3,4,2,No,60-80K,25-34
17,Steven,Marsh,employee17@company.com,Male,48,Single,Research & Development,Research Director,Medical,PhD,Travel_Rarely,43,2017-01-07,,Active,83207.53,21.87,4,4,9.5,2,6,1,3,Yes,6,4,2,2,4,3,No,80-100K,45-54
18,Barbara,Riley,employee18@company.com,Male,47,Married,Human Resources,HR Manager,Marketing,Bachelor's,Travel_Rarely,23,2022-12-27,,Active,102313.71,16.75,3,5,3.5,0,0,4,1,No,0,1,4,3,3,4,No,100K+,45-54
19,Angela,Snyder,employee19@company.com,Male,38,Single,IT,Software Engineer,Other,High School,Non-Travel,34,2024-07-24,,Active,76779.64,23.29,3,3,2.0,5,3,1,2,No,5,1,3,3,4,3,No,60-80K,35-44
20,Christine,Green,employee20@company.com,Male,48,Divorced,Finance,Finance Manager,Technical Degree,Master's,Travel_Frequently,37,2025-05-17,,Active,77215.44,8.92,3,0,1.1,4,2,3,3,No,3,4,4,2,4,2,No,60-80K,45-54
21,Ronald,Garcia,employee21@company.com,Female,27,Single,Marketing,Marketing Associate,Other,PhD,Non-Travel,13,2022-04-21,,Active,103584.73,5.39,1,7,4.2,1,3,6,1,No,3,4,2,2,1,1,No,100K+,25-34
22,Melissa,Mendez,employee22@company.com,Female,25,Divorced,Operations,Logistics Executive,Medical,Bachelor's,Travel_Rarely,9,2019-10-27,,Active,76613.36,20.43,4,5,6.7,7,4,8,3,No,1,4,4,3,2,3,No,60-80K,<25
